Team,clutch_gp,clutch_w,clutch_l,clutch_win_pct,clutch_pts,clutch_fg_pct,clutch_3pa,clutch_3p_pct,clutch_ft_pct,clutch_fta,clutch_reb,clutch_ast,clutch_tov,clutch_plus_minus,clutch_efg_pct,clutch_ft_rate,clutch_tov_pct,clutch_orb_pct,reg_gp,reg_w,reg_l,reg_win_pct,reg_pts,reg_fg_pct,reg_3pa,reg_3p_pct,reg_ft_pct,reg_fta,reg_reb,reg_ast,reg_tov,reg_plus_minus
Atlanta Hawks,41,21,20,0.512,9.8,0.451,2.7,0.339,0.816,3.4,3.6,1.9,1.0,0.7,0.518,0.509,0.124,0.361,82,40,42,0.488,118.2,0.472,37.7,0.358,0.775,23.2,44.5,29.6,15.5,-1.1
Boston Celtics,35,24,11,0.686,10.4,0.48,3.8,0.379,0.76,3.0,3.3,1.9,0.9,1.7,0.581,0.423,0.107,0.331,82,61,21,0.744,116.3,0.462,48.2,0.368,0.799,19.1,45.3,26.1,11.9,9.1
Brooklyn Nets,38,17,21,0.447,8.0,0.419,2.9,0.351,0.802,2.3,3.4,1.6,1.4,-1.3,0.502,0.368,0.18,0.354,82,26,56,0.317,105.1,0.437,39.4,0.344,0.787,20.7,41.3,25.2,15.2,-7.1
Charlotte Hornets,38,14,24,0.368,8.9,0.394,3.2,0.306,0.797,3.1,4.3,1.6,1.4,-1.0,0.464,0.447,0.172,0.407,82,19,63,0.232,105.1,0.43,38.3,0.339,0.783,19.8,45.2,24.3,15.5,-9.1
Chicago Bulls,34,17,17,0.5,8.3,0.458,2.6,0.379,0.786,2.5,3.3,1.7,1.1,0.6,0.54,0.418,0.145,0.368,82,39,43,0.476,117.8,0.47,42.0,0.367,0.809,19.7,45.9,29.1,14.7,-1.6
Cleveland Cavaliers,38,26,12,0.684,9.4,0.442,2.9,0.364,0.761,3.6,3.7,1.5,0.9,1.7,0.525,0.57,0.118,0.411,82,64,18,0.78,121.9,0.491,41.5,0.383,0.776,21.9,45.4,28.1,13.2,9.5
Dallas Mavericks,40,20,20,0.5,8.8,0.431,3.1,0.287,0.806,3.1,3.0,1.7,1.0,0.5,0.5,0.49,0.127,0.342,82,39,43,0.476,114.2,0.479,34.2,0.364,0.77,23.1,43.0,25.2,14.0,-1.2
Denver Nuggets,37,21,16,0.568,10.5,0.532,2.1,0.443,0.744,3.3,3.4,2.5,1.0,1.4,0.603,0.488,0.117,0.357,82,50,32,0.61,120.8,0.506,31.9,0.376,0.77,23.3,45.7,31.0,14.3,3.9
Detroit Pistons,44,21,23,0.477,7.9,0.457,2.2,0.368,0.695,2.9,3.0,1.4,1.2,-1.0,0.529,0.527,0.164,0.322,82,44,38,0.537,115.5,0.476,35.4,0.362,0.774,22.3,44.8,26.4,14.9,1.9
Golden State Warriors,45,25,20,0.556,7.8,0.394,2.5,0.307,0.82,3.1,3.4,1.3,0.9,0.4,0.461,0.537,0.125,0.399,82,48,34,0.585,113.8,0.451,42.4,0.364,0.764,22.1,45.4,29.1,14.0,3.3
